rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period
3670,11569475,K04029.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,1.31723412
3671,5688683,K04097.02,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,4.44902309
3672,8222627,K04098.01,,CANDIDATE,CANDIDATE,0.993,0,0,0,0,1.121733366
3673,8951205,K04099.01,,CANDIDATE,CANDIDATE,0.996,0,0,0,0,4.95060632
3674,5700900,K04100.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,379.08202
3675,7026477,K04101.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,366.31509
3676,9402583,K04168.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,0.536544193
3677,7838675,K04169.01,Kepler-1561 b,CONFIRMED,FALSE POSITIVE,0,0,0,1,0,1.005205893
3678,8700537,K04170.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,43.796785
3679,10858785,K04171.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.952371227
3680,9640907,K04172.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.089088292
3681,7515670,K02360.02,,FALSE POSITIVE,FALSE POSITIVE,,1,1,0,0,1.1518407
3682,9551430,K04030.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,7.7553808
3683,3228986,K04031.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.730949487
3684,7100673,K04032.01,Kepler-1542 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.95116635
3685,7100673,K04032.02,Kepler-1542 c,CONFIRMED,CANDIDATE,0.993,0,0,0,0,2.89223998
3686,4138557,K04033.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,0.991552822
3687,2708278,K04102.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.89124187
3688,3747817,K04103.01,Kepler-1552 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,184.77271
3689,8483366,K04104.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,392.49728
3690,7758018,K04105.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,363.41165
3691,9071593,K02257.02,,CANDIDATE,CANDIDATE,0.514,0,0,0,0,59.284064
3692,10089911,K04034.01,Kepler-1543 b,CONFIRMED,FALSE POSITIVE,0.1,1,0,0,0,6.96704926
3693,3247404,K04035.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,8.8109721
3694,11415243,K04036.01,Kepler-1544 b,CONFIRMED,CANDIDATE,0.965,0,0,0,0,168.81133
3695,3548044,K02194.02,Kepler-371 c,CONFIRMED,CANDIDATE,0.979,0,0,0,0,67.968656
3696,8264402,K04037.01,,CANDIDATE,CANDIDATE,0.964,0,0,0,0,215.956008
3697,7773179,K04038.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,2.15681538
3698,11017094,K04106.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,0.708563091
3699,3129238,K07645.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,2.00870696
3700,5956633,K04107.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,366.24282
3701,9899065,K04108.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.33256418
3702,7907808,K04109.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,0.655939788
3703,5471792,K04110.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,12.4258833
3704,11145831,K04039.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.387838134
3705,11444952,K04040.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.678349364
3706,8647295,K04041.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.022028468
3707,3444098,K04042.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.72359699
3708,5112567,K04043.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.6156052
3709,2708343,K04111.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.8913182
3710,3348090,K04112.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,2.43585046
3711,9282762,K04113.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,1.33255441
3712,3117046,K04114.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1,359.1015
3713,6311520,K04115.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.941840589
3714,5201115,K04044.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1,1.728521892
3715,2708203,K04045.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,1.89125855
3716,4150496,K04046.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,8.65312868
3717,11401767,K02195.02,Kepler-372 d,CONFIRMED,CANDIDATE,0.976,0,0,0,0,30.0899459
3718,9655005,K04047.01,,CANDIDATE,CANDIDATE,0.196,0,1,0,0,1.39862757
3719,11709124,K00435.06,Kepler-154 f,CONFIRMED,CANDIDATE,0.997,0,0,0,0,9.91937693
3720,3851194,K07671.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,0.918510251
3721,8613535,K02263.02,Kepler-1165 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.47850818
3722,5092655,K04116.01,,CANDIDATE,CANDIDATE,,0,0,0,0,0.783258387
3723,3955817,K04117.01,Kepler-1553 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.24263096
3724,10661778,K04118.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1,1.231363214
3725,5513857,K04119.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,0.755101928
3726,10272389,K04048.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,4.56447463
3727,4679687,K04049.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,1.027904857
3728,7968683,K04050.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,367.95566
3729,10360722,K04051.01,Kepler-1545 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,163.692336
3730,9091755,K04052.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,1.106529843
3731,3852476,K07672.01,,FALSE POSITIVE,FALSE POSITIVE,0.307,1,0,0,0,111.741576
3732,9700449,K04120.01,,CANDIDATE,CANDIDATE,0.965,0,0,0,0,110.461746
3733,6349881,K04121.01,Kepler-1554 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,198.088873
3734,9851970,K04122.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.08193721
3735,6140059,K04123.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,44.6226725
3736,5726910,K04124.01,,CANDIDATE,CANDIDATE,,0,0,0,0,2.43142974
3737,1718958,K04053.01,,CANDIDATE,CANDIDATE,0.985,0,0,0,0,1.41975831
3738,6428794,K04054.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,169.135056
3739,3228825,K04055.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.73095491
3740,4673628,K04056.01,,CANDIDATE,CANDIDATE,0.838,0,0,0,0,3.951383138
3741,11401767,K02195.03,Kepler-372 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,6.84978728
3742,3852872,K07673.01,,CANDIDATE,CANDIDATE,0.775,0,0,0,0,80.769893
3743,9099950,K04125.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,1.111362442
3744,9718066,K02287.02,Kepler-378 c,CONFIRMED,CANDIDATE,0.08,0,0,0,0,28.9060526
3745,9272070,K04126.01,Kepler-1555 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.10503551
3746,5088400,K04127.01,Kepler-1556 b,CONFIRMED,CANDIDATE,0.991,0,0,0,0,8.82715783
3747,4669402,K04128.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,143.196381
3748,3757407,K04057.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,9.089151782
3749,4769931,K04058.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,0,1,1.87886973
3750,9220612,K04059.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,0.979161676
3751,9086154,K04060.01,,CANDIDATE,CANDIDATE,0.901,0,0,0,0,225.26213
3752,6806695,K04061.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.855922327
3753,3858943,K07674.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,25.9528725
3754,11970988,K04129.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,2.31482311
3755,10858803,K04130.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.952374508
3756,6129694,K04131.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.936751792
3757,5957181,K04132.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,393.34331
3758,7601918,K04133.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.621361411
3759,6119877,K04134.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,250.2376074
3760,6792908,K04341.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,10.778313
3761,7211879,K04342.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.594310785
3762,8087812,K04343.01,,CANDIDATE,CANDIDATE,0.988,0,0,0,0,27.2106807
3763,4863956,K04344.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,4.31978105
3764,10534155,K04345.01,,CANDIDATE,CANDIDATE,0.994,0,0,0,0,4.32710895
3765,5308537,K04409.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,14.2651545
3766,6350882,K04410.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,5.04404366
3767,5281113,K04411.01,Kepler-1602 b,CONFIRMED,CANDIDATE,0.994,0,0,0,0,11.17931581
3768,7847104,K04412.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.284991846
3769,3450040,K04205.01,,CANDIDATE,CANDIDATE,0.986,0,0,0,0,1.166960319
3770,3347807,K07653.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,324.18028
